Player,Team,At Bats,Hits,Singles,Doubles,Triples,Home runs,Bases on balls,Sacrifice fly,Hits by Pitch
Anthony Alford,PIT,12,3,21,0,1,1,1,0,0
Nicky Delmonico,CWS,20,3,6,0,0,0,2,0,0
Brett Phillips,KC,31,7,4,0,1,1,3,0,0
Anthony Rizzo,CHC,203,45,9,6,0,11,28,2,10
Kevin Newman,PIT,156,35,15,5,0,1,12,2,1
Jared Walsh,LAA,99,29,26,4,2,9,5,3,1
Hernan Perez,CHC,6,1,9,0,0,0,0,0,0
Ramon Laureano,OAK,183,39,22,8,1,6,24,3,12
Jaylin Davis,SF,12,2,37,0,0,1,0,0,0
Joey Rickard,SF,5,0,18,0,0,0,1,0,0
Jake Lamb,OAK,45,12,17,4,0,3,2,0,2
Garrett Stubbs,HOU,8,1,27,0,0,0,0,1,0